,mlb_name,pitch_type,quality,ball_pct,strike_pct,foul_pct,in_play_pct,pitch_count,avg_qual,pitch_name
139822,Al Alburquerque,FT,0.08152173913043485,0.34782608695652173,0.26811594202898553,0.14492753623188406,0.2391304347826087,138.0,0.09296613721316117,Two-seam Fastball
139824,Al Alburquerque,FF,0.021489361702127646,0.2978723404255319,0.19148936170212766,0.23404255319148937,0.2765957446808511,47.0,0.1603646846323446,Four-seam Fastball
139825,Al Alburquerque,SL,0.35731343283582134,0.34328358208955223,0.4228855721393035,0.11442786069651742,0.11940298507462686,201.0,0.20810453817692648,Slider
140211,Yusmeiro Petit,FF,0.1513032258064534,0.35096774193548386,0.27741935483870966,0.2129032258064516,0.15870967741935485,775.0,0.1603646846323446,Four-seam Fastball
140214,Yusmeiro Petit,CH,0.10007067137809178,0.31448763250883394,0.27208480565371024,0.14487632508833923,0.26855123674911663,283.0,0.12765397399004674,Changeup
140216,Yusmeiro Petit,CU,0.28143769968051163,0.31309904153354634,0.3706070287539936,0.15335463258785942,0.16293929712460065,313.0,0.17778582610313318,Curveball
140271,Yusmeiro Petit,FC,0.25037190082644584,0.2809917355371901,0.36363636363636365,0.15289256198347106,0.2024793388429752,242.0,0.1565383301837312,Cutter
141837,Brent Suter,SL,0.1638819875776394,0.36335403726708076,0.3198757763975155,0.12111801242236025,0.1956521739130435,322.0,0.20810453817692648,Slider
141839,Brent Suter,FT,0.09126984126984132,0.38095238095238093,0.25396825396825395,0.20634920634920634,0.15873015873015872,63.0,0.09296613721316117,Two-seam Fastball
141840,Brent Suter,FF,0.1845840554592736,0.29636048526863085,0.3024263431542461,0.2019064124783362,0.19930675909878684,1154.0,0.1603646846323446,Four-seam Fastball
141846,Brent Suter,CH,0.10152866242038178,0.40445859872611467,0.28662420382165604,0.11146496815286625,0.19745222929936307,314.0,0.12765397399004674,Changeup
141935,Brent Suter,CU,0.1500000000000002,0.3235294117647059,0.35294117647058826,0.11764705882352941,0.20588235294117646,34.0,0.17778582610313318,Curveball
143724,Taylor Jungmann,FT,0.02400000000000002,0.55,0.25,0.05,0.15,20.0,0.09296613721316117,Two-seam Fastball
143728,Taylor Jungmann,CU,0.4050000000000001,0.25,0.4375,0.1875,0.125,16.0,0.17778582610313318,Curveball
143736,Taylor Jungmann,FF,0.10358974358974359,0.48717948717948717,0.3076923076923077,0.05128205128205128,0.15384615384615385,39.0,0.1603646846323446,Four-seam Fastball
143803,Brooks Pounders,FF,0.10702702702702709,0.3581081081081081,0.22972972972972974,0.24324324324324326,0.16891891891891891,148.0,0.1603646846323446,Four-seam Fastball
143804,Brooks Pounders,CH,-0.04117647058823527,0.4117647058823529,0.11764705882352941,0.23529411764705882,0.23529411764705882,17.0,0.12765397399004674,Changeup
143807,Brooks Pounders,SL,0.19598360655737665,0.4016393442622951,0.319672131147541,0.12295081967213115,0.1557377049180328,122.0,0.20810453817692648,Slider
143828,Brooks Pounders,FT,0.15416666666666667,0.4166666666666667,0.2916666666666667,0.125,0.16666666666666666,24.0,0.09296613721316117,Two-seam Fastball
144121,Michael Blazek,FF,0.09911764705882362,0.39215686274509803,0.2647058823529412,0.16666666666666666,0.17647058823529413,102.0,0.1603646846323446,Four-seam Fastball
144122,Michael Blazek,SL,0.22842105263157902,0.2807017543859649,0.40350877192982454,0.10526315789473684,0.21052631578947367,57.0,0.20810453817692648,Slider
144131,Michael Blazek,FT,0.04645833333333336,0.3333333333333333,0.25,0.16666666666666666,0.25,48.0,0.09296613721316117,Two-seam Fastball
144146,Michael Blazek,CH,0.4933333333333334,0.26666666666666666,0.4666666666666667,0.2,0.06666666666666667,15.0,0.12765397399004674,Changeup
144149,Michael Blazek,CU,-0.009090909090909104,0.8181818181818182,0.18181818181818182,0.0,0.0,11.0,0.17778582610313318,Curveball
144354,Jose Alvarez,FF,0.23403846153846217,0.2967032967032967,0.3269230769230769,0.2087912087912088,0.16758241758241757,364.0,0.1603646846323446,Four-seam Fastball
